192.168.10.129|E29|1|TSW-100T|
192.168.10.130|G29|2|TIA-2600|
192.168.10.131|E30|1|TSW-100T|
192.168.10.132|G30|2|FTO-2200A|
192.168.10.133|E31|1|TSW-100T|
192.168.10.134|G31|2|FTO-2400|
192.168.10.135|E32|1|TSW-100T|
192.168.10.136|G32|2|FTO-2500|
192.168.10.137|E33|1|TSW-100T|
192.168.10.138|G33|2|FTO-2200A|
192.168.10.139|E34|1|TSW-100T|
192.168.10.140|G34|2|FTO-2200A|
192.168.10.141|E35|1|TSW-100T|
192.168.10.142|G35|2|FTO-2200A|
192.168.10.143|E36|1|HSW-800|
192.168.10.144|G36|2|FTO-2200A|
192.168.10.145|E54|1|HSW-800|
192.168.10.146|G54|2|FTO-2400|
192.168.10.147|E55|1|HSW-800|
192.168.10.148|G55|2|FTO-2500|
192.168.10.149|E56|1|HSW-800|
192.168.10.150|G56|2|FTO-2400|
192.168.10.151|E57|1|TSW-100T|
192.168.10.152|G57|2|FTO-2500|
192.168.10.153|E58|1|TSW-100T|
192.168.10.154|G58|2|TIA-2600|
192.168.10.155|E59|1|TSW-100T|
192.168.10.156|G59|2|FTO-2500|
192.168.10.157|E60|1|TSW-100T|
192.168.10.158|G60|2|FTO-2400|
192.168.10.159|E61|1|HSW-800|
192.168.10.160|G61|2|FTO-2400|
192.168.10.161|E62|1|TSW-168T|
192.168.10.162|G62|2|TIA-2600|
192.168.10.163|E63|1|TSW-100T|
192.168.10.164|G63|2|FTO-2200A|
192.168.10.165|E64|1|TSW-100T|
192.168.10.166|G64|2|TIA-2600|
192.168.10.167|E65|1|HSW-800|
192.168.10.168|G65|2|FTO-2200A|
192.168.10.169|E66|1|HSW-800|
192.168.10.170|G66|2|FTO-2400|
192.168.10.171|E67|1|HSW-168|未安裝
192.168.10.172|G67|2|FTO-2510|
192.168.10.173|E68|1|HSW-800|
192.168.10.174|G68|2|FTO-2500|
192.168.10.175|E69|1|HSW-800|
192.168.10.176|G69|2|FTO-2500|
192.168.10.177|E70|1|TSW-100T|
192.168.10.178|G70|2|FTO-2200A|
192.168.10.179|E71|1|HSW-800|
192.168.10.180|G71|2|FTO-2500|
192.168.10.181|E92|1|TSW-100T|
192.168.10.182|G92|2|TIA-2600|
192.168.10.183|G96|2|FTO-2700|
192.168.10.184|G110|2|FTO-2500|
192.168.10.185|G98|2|FTO-3100|
192.168.10.186|G99|2|FTO-2200A|
192.168.10.187|G100|2|FTO-2700|
192.168.10.188|E101|1|ARCO|未安裝
192.168.10.189|E102|1|ARCO|未安裝
192.168.10.190|G103|2|SAA-1800|未安裝
192.168.10.191|G103|2|SAA-1800|未安裝
192.168.10.192|G104|2|FTO-2700|
192.168.10.193|G105|2|FTO-3100|
192.168.10.194|G106|2|SAA-1800|未安裝
192.168.10.195|G106|2|SAA-1800|未安裝
192.168.10.196|E106|1|HSW-800|
192.168.10.197|E107|1|HSW-160B|未安裝
192.168.10.198|E108|1|HSW-250JW|未安裝
192.168.10.199|E100|1|TSW-100T|
